iter	Passed	Remaining
782	1057	293
783	1058	291
784	1059	290
785	1059	288
786	1063	287
787	1064	286
788	1065	285
789	1066	283
790	1067	282
791	1069	280
792	1070	279
793	1071	277
794	1072	276
795	1073	275
796	1073	273
797	1075	272
798	1076	270
799	1077	269
800	1079	268
801	1079	266
802	1080	265
803	1081	263
804	1082	262
805	1083	260
806	1084	259
807	1085	257
808	1086	256
809	1087	255
810	1088	253
811	1088	252
812	1089	250
813	1091	249
814	1092	248
815	1093	246
816	1094	245
817	1095	243
818	1097	242
819	1098	241
820	1098	239
821	1099	238
822	1100	236
823	1101	235
824	1101	233
825	1102	232
826	1103	230
827	1104	229
828	1106	228
829	1107	226
830	1108	225
831	1109	224
832	1110	222
833	1111	221
834	1112	219
835	1113	218
836	1114	217
837	1115	215
838	1116	214
839	1117	212
840	1118	211
841	1119	210
842	1120	208
843	1122	207
844	1122	205
845	1124	204
846	1125	203
847	1126	201
848	1127	200
849	1128	199
850	1128	197
851	1129	196
852	1130	194
853	1131	193
854	1132	191
855	1132	190
856	1134	189
857	1135	187
858	1136	186
859	1139	185
860	1140	184
861	1141	182
862	1142	181
863	1143	180
864	1144	178
865	1145	177
866	1146	175
867	1147	174
868	1148	173
869	1150	171
870	1152	170
871	1154	169
872	1155	168
873	1155	166
874	1156	165
875	1157	163
876	1158	162
877	1159	161
878	1159	159
879	1160	158
880	1161	156
881	1162	155
882	1163	154
883	1164	152
884	1167	151
885	1168	150
886	1169	148
887	1170	147
888	1171	146
889	1171	144
890	1172	143
891	1173	142
892	1174	140
893	1175	139
894	1175	137
895	1176	136
896	1177	135
897	1178	133
898	1180	132
899	1183	131
900	1184	130
901	1185	128
902	1185	127
903	1186	126
904	1187	124
905	1188	123
906	1189	121
907	1190	120
908	1190	119
909	1191	117
910	1192	116
911	1194	115
912	1196	113
913	1197	112
914	1198	111
915	1199	109
916	1200	108
917	1200	107
918	1201	105
919	1202	104
920	1202	103
921	1203	101
922	1204	100
923	1204	99
924	1205	97
925	1206	96
926	1207	95
927	1208	93
928	1209	92
929	1210	91
930	1211	89
931	1212	88
932	1213	87
933	1213	85
934	1214	84
935	1215	83
936	1216	81
937	1216	80
938	1217	79
939	1218	77
940	1218	76
941	1219	75
942	1220	73
943	1221	72
944	1222	71
945	1223	69
946	1224	68
947	1225	67
948	1226	65
949	1227	64
950	1227	63
951	1228	61
952	1229	60
953	1229	59
954	1230	57
955	1231	56
956	1232	55
957	1233	54
958	1234	52
959	1235	51
960	1236	50
961	1237	48
962	1238	47
963	1239	46
964	1240	45
965	1241	43
966	1242	42
967	1243	41
968	1243	39
969	1244	38
970	1245	37
971	1246	35
972	1247	34
973	1248	33
974	1249	32
975	1250	30
976	1251	29
977	1252	28
978	1253	26
979	1255	25
980	1255	24
981	1256	23
982	1257	21
983	1258	20
984	1258	19
985	1259	17
986	1260	16
987	1262	15
988	1263	14
989	1263	12
990	1264	11
991	1265	10
992	1266	8
993	1267	7
994	1268	6
995	1269	5
996	1270	3
997	1271	2
998	1271	1
999	1272	0
